Stage   | elapsed | total score                             | per-constraint (hard/medium only)
          emp-region-transit-gap                        score=-65hard/0medium/0soft          matches=51
          phase-order                                   score=-1391hard/0medium/0soft        matches=193
          seat-daily-cap-12h                            score=-1580hard/0medium/0soft        matches=278
Stage1  | t+11667s | total=-4885hard/0medium/-650337soft           
          block-end-within-window                       score=-173hard/0medium/0soft         matches=63
          block-no-underfill                            score=-120hard/0medium/0soft         matches=2
          block-overfill-at-most-one-day                score=-1266hard/0medium/0soft        matches=76
          emp-monthly-overtime-limit                    score=-106hard/0medium/0soft         matches=20
          emp-one-task-per-day                          score=-259hard/0medium/0soft         matches=259
          emp-region-transit-gap                        score=-54hard/0medium/0soft          matches=47
          phase-order                                   score=-1363hard/0medium/0soft        matches=193
          seat-daily-cap-12h                            score=-1544hard/0medium/0soft        matches=259
Stage1  | t+11675s | total=-4883hard/0medium/-653510soft           
          block-end-within-window                       score=-151hard/0medium/0soft         matches=60
          block-no-underfill                            score=-120hard/0medium/0soft         matches=2
          block-overfill-at-most-one-day                score=-1210hard/0medium/0soft        matches=73
          emp-monthly-overtime-limit                    score=-94hard/0medium/0soft          matches=21
          emp-one-task-per-day                          score=-273hard/0medium/0soft         matches=271
          emp-region-transit-gap                        score=-56hard/0medium/0soft          matches=48
          phase-order                                   score=-1405hard/0medium/0soft        matches=207
          seat-daily-cap-12h                            score=-1574hard/0medium/0soft        matches=271
Stage1  | t+11676s | total=-4883hard/0medium/-652794soft           
          block-end-within-window                       score=-151hard/0medium/0soft         matches=60
